Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Entity City,Entity State,Entity ZIP Code,Additional Reporting Code,Additional Reporting Description,Unique Entity ID,Ultimate Parent Unique Entity ID,Ultimate Parent Legal Business Name,Legal Business Name,CAGE Code,
"FA853022F0010","FA850120D0002","0","0","DO Delivery Order","$80,221.03","Sep 1, 2022","Aug 12, 2022","5700","DEPT OF THE AIR FORCE","FA8530  AFSC PZIE","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850120D0002",,"P00001",0,"IDC Indefinite Delivery Contract","$0.00","Oct 23, 2020","Jul 7, 2020","5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850120D0002",,"P00006",0,"IDC Indefinite Delivery Contract","$0.00","Oct 26, 2021","Jul 7, 2020","5700","DEPT OF THE AIR FORCE","FA8530  AFSC PZIE","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850120D0002",,"P00007",0,"IDC Indefinite Delivery Contract","$0.00","Sep 8, 2022","Jul 7, 2020","5700","DEPT OF THE AIR FORCE","FA8530  AFSC PZIE","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA85011990001",,"P00001","0","Other Transaction Award Other Transaction Agreement","$0.00","Sep 30, 2019","Sep 13, 2019","5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER",,,"ORLANDO","FL","328263714",,,"CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA441722F0291","FA850120D0002","0","0","DO Delivery Order","$1,075,282.51","Sep 14, 2022","Sep 7, 2022","5700","DEPT OF THE AIR FORCE","FA4417 1 SOCONS","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA461322F0121","FA850120D0002","0","0","DO Delivery Order","$567,914.97","Sep 20, 2022","Aug 30, 2022","5700","DEPT OF THE AIR FORCE","FA4613  90 CONS PK","P","6910","TRAINING AIDS","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850120F0222","FA850120D0002","0","0","DO Delivery Order","$351,809.00","Sep 28, 2020",,"5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA560622F0105","FA850120D0002","0","0","DO Delivery Order","$96,754.00","Jul 25, 2022",,"5700","DEPT OF THE AIR FORCE","FA5606  52 CONS DA LGC","P","6910","TRAINING AIDS","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA527023F0049","FA850120D0002","0","0","DO Delivery Order","$62,199.00","Mar 1, 2023",,"5700","DEPT OF THE AIR FORCE","FA5270  18 CONS PK","P","7B22","IT AND TELECOM - COMPUTE: SERVERS (HARDWARE AND PERPETUAL LICENSE SOFTWARE)","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA480022F0198","FA850120D0002","P00001","0","DO Delivery Order","-$6,738.35","Sep 21, 2022","Aug 30, 2022","5700","DEPT OF THE AIR FORCE","FA4800  633 CONS PKP","P","7B20","IT AND TELECOM - HIGH PERFORMANCE COMPUTE (HARDWARE AND PERPETUAL LICENSE SOFTWARE)","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA483022F0104","FA850120D0002","P00002","0","DO Delivery Order","$1,712,270.81","Sep 30, 2022","Sep 13, 2022","5700","DEPT OF THE AIR FORCE","FA4830  23 CONS CC","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA853022F0014","FA850120D0002","0","0","DO Delivery Order","$133,479.72","Sep 21, 2022","Sep 12, 2022","5700","DEPT OF THE AIR FORCE","FA8530  AFSC PZIE","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA853022F0015","FA850120D0002","0","0","DO Delivery Order","$74,370.00","Sep 24, 2022","Sep 22, 2022","5700","DEPT OF THE AIR FORCE","FA8530  AFSC PZIE","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850120F0125","FA850120D0002","P00002","0","DO Delivery Order","$0.00","Oct 28, 2020",,"5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850121F0032","FA850120D0002","0","0","DO Delivery Order","$493,391.00","Apr 1, 2021","Feb 25, 2021","5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850121F0045","FA850120D0002","0","0","DO Delivery Order","$145,885.00","Apr 8, 2021","Mar 26, 2021","5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850121F0107","FA850120D0002","0","0","DO Delivery Order","$70,934.50","Jul 14, 2021","Jun 30, 2021","5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850121F0115","FA850120D0002","0","0","DO Delivery Order","$789,826.73","Aug 19, 2021","Jul 19, 2021","5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA853021F0011","FA850120D0002","P00001","0","DO Delivery Order","$0.00","Dec 7, 2021","Sep 7, 2021","5700","DEPT OF THE AIR FORCE","FA8530  AFSC PZIE","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850120D0002",,"P00003",0,"IDC Indefinite Delivery Contract","$0.00","Aug 13, 2021","Jul 7, 2020","5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA461322F0121","FA850120D0002","P00001","0","DO Delivery Order","$0.00","Jan 5, 2023","Aug 30, 2022","5700","DEPT OF THE AIR FORCE","FA4613  90 CONS PK","P","6910","TRAINING AIDS","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850120F0125","FA850120D0002","P00003","0","DO Delivery Order","$0.00","Dec 15, 2020",,"5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850121F0049","FA850120D0002","0","0","DO Delivery Order","$6,160.00","Apr 9, 2021","Apr 1, 2021","5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850121F0075","FA850120D0002","0","0","DO Delivery Order","$428,308.00","Jun 14, 2021","May 21, 2021","5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA302022F0066","FA850120D0002","P00001","0","DO Delivery Order","-$1,129.42","Apr 24, 2023","May 9, 2022","5700","DEPT OF THE AIR FORCE","FA3020  82 CONS LGC","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850120D0002",,"P00004",0,"IDC Indefinite Delivery Contract","$0.00","Sep 21, 2021","Jul 7, 2020","5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA853021F0010","FA850120D0002","0","0","DO Delivery Order","$10,913.00","Sep 15, 2021","Sep 7, 2021","5700","DEPT OF THE AIR FORCE","FA8530  AFSC PZIE","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA853022F0009","FA850120D0002","0","0","DO Delivery Order","$241,310.10","Sep 15, 2022","Aug 23, 2022","5700","DEPT OF THE AIR FORCE","FA8530  AFSC PZIE","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA302022F0066","FA850120D0002","0","0","DO Delivery Order","$3,136,050.76","Jun 10, 2022","May 9, 2022","5700","DEPT OF THE AIR FORCE","FA3020  82 CONS LGC","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA680023F0007","FA850120D0002","0","0","DO Delivery Order","$296,381.91","May 15, 2023","Apr 5, 2023","5700","DEPT OF THE AIR FORCE","FA6800 AFICC 767 ESF","P","6910","TRAINING AIDS","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA853021F0007","FA850120D0002","0","0","DO Delivery Order","$63,727.24","Aug 18, 2021","Jul 28, 2021","5700","DEPT OF THE AIR FORCE","FA8530  AFSC PZIE","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA853021F0008","FA850120D0002","0","0","DO Delivery Order","$55,992.00","Aug 18, 2021","Jul 29, 2021","5700","DEPT OF THE AIR FORCE","FA8530  AFSC PZIE","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA853021F0011","FA850120D0002","0","0","DO Delivery Order","$81,847.50","Sep 14, 2021","Sep 7, 2021","5700","DEPT OF THE AIR FORCE","FA8530  AFSC PZIE","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
