Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Entity City,Entity State,Entity ZIP Code,Additional Reporting Code,Additional Reporting Description,Unique Entity ID,Ultimate Parent Unique Entity ID,Ultimate Parent Legal Business Name,Legal Business Name,CAGE Code,
"FA864920C0237",,"0","0","DCA Definitive Contract","$1,000,000.00","Jul 13, 2020","Mar 30, 2020","5700","DEPT OF THE AIR FORCE","FA8649  USAF SBIR STTR CONTRACTING","S","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA864920P0449",,"0","0","PO Purchase Order","$50,000.00","Mar 5, 2020","Dec 10, 2019","5700","DEPT OF THE AIR FORCE","FA8649  USAF SBIR STTR CONTRACTING","S","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA864921P0465",,"0","0","PO Purchase Order","$50,000.00","Feb 4, 2021","Sep 25, 2020","5700","DEPT OF THE AIR FORCE","FA8649  USAF SBIR STTR CONTRACTING","S","AC32","NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA864921P0465",,"P00001","0","PO Purchase Order","$0.00","Jun 15, 2021","Sep 25, 2020","5700","DEPT OF THE AIR FORCE","FA8649  USAF SBIR STTR CONTRACTING","S","AC32","NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA864921P0946",,"0","0","PO Purchase Order","$750,000.00","Mar 11, 2021","Aug 26, 2020","5700","DEPT OF THE AIR FORCE","FA8649  USAF SBIR STTR CONTRACTING","S","AC32","NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"N6833521C0279",,"0","0","DCA Definitive Contract","$200,000.00","Apr 27, 2021","Aug 2, 2020","1700","DEPT OF THE NAVY","NAVAIR WARFARE CTR AIRCRAFT DIV","S","AC12","NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; APPLIED RESEARCH","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"N6833521C0279",,"P00003","0","DCA Definitive Contract","$341,484.00","Mar 16, 2022","Aug 2, 2020","1700","DEPT OF THE NAVY","NAVAIR WARFARE CTR AIRCRAFT DIV","S","AC12","NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; APPLIED RESEARCH","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA300219PA182",,"P00002","0","PO Purchase Order","$20,627.75","Jun 24, 2021","Nov 28, 2018","5700","DEPT OF THE AIR FORCE","FA3002  338 ESS CC","S","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770063906","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA300221G0085",,"0",0,"BOA Basic Ordering Agreement","$0.00","Jul 3, 2021",,"5700","DEPT OF THE AIR FORCE","FA3002  338 ESS CC","S","DA10","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE","511210","SOFTWARE PUBLISHERS","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA300222F0115","FA300221G0058","0","0","DO Delivery Order","$1,680,029.00","Jun 27, 2022","Jun 15, 2022","5700","DEPT OF THE AIR FORCE","FA3002  338 ESS CC","S","AF23","EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D; TRAINING & LABOR R&D; EXPERIMENTAL DEVELOPMENT","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA300223F0057","FA300221G0085","0","0","DO Delivery Order","$1,784,050.00","Mar 30, 2023","Mar 8, 2023","5700","DEPT OF THE AIR FORCE","FA3002  338 ESS CC","S","DA10","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE","511210","SOFTWARE PUBLISHERS","HOUSTON","TX","770024410","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","XX73XDPTQNN5","HTX LABS LLC","HTX LABS, LLC","80GR7",
"FA300223F0057","FA300221G0085","P00001","0","DO Delivery Order","$0.00","May 10, 2023","Mar 8, 2023","5700","DEPT OF THE AIR FORCE","FA3002  338 ESS CC","S","DA10","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE","511210","SOFTWARE PUBLISHERS","HOUSTON","TX","770024410","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","XX73XDPTQNN5","HTX LABS LLC","HTX LABS, LLC","80GR7",
"FA864921P0946",,"P00001","0","PO Purchase Order","$0.00","Mar 23, 2021","Aug 26, 2020","5700","DEPT OF THE AIR FORCE","FA8649  USAF SBIR STTR CONTRACTING","S","AC32","NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA864921P1561",,"0","0","PO Purchase Order","$750,000.00","Aug 6, 2021","Feb 23, 2021","5700","DEPT OF THE AIR FORCE","FA8649  USAF SBIR STTR CONTRACTING","S","AC32","NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA864922P0937",,"P00001","0","PO Purchase Order","$0.00","Apr 21, 2023","Feb 10, 2022","5700","DEPT OF THE AIR FORCE","FA8649  USAF SBIR STTR CONTRACTING","S","AC32","NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770024410","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","XX73XDPTQNN5","HTX LABS LLC","HTX LABS, LLC","80GR7",
"N6833521C0279",,"P00001","0","DCA Definitive Contract","$488,898.00","Sep 1, 2021","Aug 2, 2020","1700","DEPT OF THE NAVY","NAVAIR WARFARE CTR AIRCRAFT DIV","S","AC12","NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; APPLIED RESEARCH","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"N6833521C0279",,"P00004","0","DCA Definitive Contract","$0.00","Sep 14, 2022","Aug 2, 2020","1700","DEPT OF THE NAVY","NAVAIR WARFARE CTR AIRCRAFT DIV","S","AC12","NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; APPLIED RESEARCH","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA300220C0010",,"P00009","0","DCA Definitive Contract","$424,615.98","May 26, 2022","May 11, 2020","5700","DEPT OF THE AIR FORCE","FA3002  338 ESS CC","S","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA300222F0045","FA300221G0085","0","0","DO Delivery Order","$687,000.00","Jan 26, 2022","Jan 12, 2022","5700","DEPT OF THE AIR FORCE","FA3002  338 ESS CC","P","7A21","IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE)","511210","SOFTWARE PUBLISHERS","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA302021P0016",,"0","0","PO Purchase Order","$246,437.10","Apr 14, 2021",,"5700","DEPT OF THE AIR FORCE","FA3020  82 CONS LGC","P","6910","TRAINING AIDS","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA864921P0946",,"P00002","0","PO Purchase Order","$0.00","Nov 4, 2021","Aug 26, 2020","5700","DEPT OF THE AIR FORCE","FA8649  USAF SBIR STTR CONTRACTING","S","AC32","NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770024410","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA864921P1561",,"P00001","0","PO Purchase Order","$0.00","Nov 3, 2021","Feb 23, 2021","5700","DEPT OF THE AIR FORCE","FA8649  USAF SBIR STTR CONTRACTING","S","AC32","NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770024410","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA864921P1580",,"0","0","PO Purchase Order","$750,000.00","Sep 8, 2021","Feb 23, 2021","5700","DEPT OF THE AIR FORCE","FA8649  USAF SBIR STTR CONTRACTING","S","AC32","NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA864922P0937",,"0","0","PO Purchase Order","$1,250,000.00","May 25, 2022","Feb 10, 2022","5700","DEPT OF THE AIR FORCE","FA8649  USAF SBIR STTR CONTRACTING","S","AC32","NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770024410","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
